DEPARTAMENTO,PROVINCIA,DISTRITO,CENTRO POBLADO,LATITUD,LONGITUD,VIVIENDAS,POBLACIÓN
LA LIBERTAD,BOLIVAR,LONGOTEA,EL JARDIN,-6.998508,-77.930552,29,92
LA LIBERTAD,ASCOPE,RAZURI,LA LINEA DE PANCAL,-7.729068,-79.377945,25,91
LA LIBERTAD,TRUJILLO,MOCHE,BELLAVISTA,-8.173057,-79.00075,21,90
LA LIBERTAD,ASCOPE,CHICAMA,LUZ DEL SOL,-7.973521,-79.058513,50,89
LA LIBERTAD,CHEPEN,PACANGA,TRUST ALTO,-7.163865,-79.387537,22,89
LA LIBERTAD,SANTIAGO DE CHUCO,QUIRUVILCA,LA VICTORIA,-7.900475,-78.29389,22,89
LA LIBERTAD,GRAN CHIMU,CASCAS,EL SAUSALITO,-7.569252,-78.813073,34,89
LA LIBERTAD,PACASMAYO,GUADALUPE,JORGE CHAVEZ,-7.285548,-79.416697,30,88
LA LIBERTAD,TRUJILLO,MOCHE,CHOC CHOC,-8.170876,-78.999743,17,84
LA LIBERTAD,TRUJILLO,MOCHE,EL CARNERO,-8.149838,-79.007736,19,83
LA LIBERTAD,CHEPEN,CHEPEN,ALGARROBAL DE TALAMBO,-7.238202,-79.391727,27,83
LA LIBERTAD,CHEPEN,PUEBLO NUEVO,LA MARIPOSA,-7.219965,-79.519832,26,83
LA LIBERTAD,TRUJILLO,MOCHE,LA ESPERANZA,-8.149925,-79.009411,21,80
LA LIBERTAD,PACASMAYO,GUADALUPE,ALTO PERU,-7.22715,-79.46305,25,80
LA LIBERTAD,TRUJILLO,TRUJILLO,EL CONDE,-8.121933,-78.984894,19,76
